"Species","code","family","group","nat.inv","morph.mass.mg","chem.mass.mg","set.time.mpsec","height.cm","shape.m","size.mm.m","area.mm2.m","shape.c","size.mm.c","area.mm2.c","appendage type","smooth.coarse","appendage","prop.C","prop.N","cn","ldd","disp","ldd2","wing.loading.c","wing.loading.m","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","mucilage","fleshy.end","starchy.end"
"Chenopodium berlandieri","CHEBER","Chenopodiaceae","forb","native",10.3745,10.3745,247.513901621254,150,0.0314687757596425,1.52663695,5.33048746,0.0314687757596425,1.52663695,5.33048746,"no appendage",1,"none",0.458351741716228,0.0268620787312376,17.0631523458092,4,"large mammal (internal)","ingestion",1.94625727531493,1.94625727531493,19.7233190189149,2.55531966499382,0.0264,0.021,0.0474,0,0,1
"Chenopodium berlandieri var. sinuatum","CHEBERS","Chenopodiaceae","forb","native",7.2604,7.2604,256.027889296886,35.48,0.0300618641079149,1.4158506,4.4962734,0.0300618641079149,1.4158506,4.4962734,"no appendage",1,"none",0.473371863546659,0.0211361714124612,22.3962918500734,4,"bird","ingestion",1.614759458355,1.614759458355,17.7921129691792,2.23463178597608,0.0266,0.0202,0.0468,0,0,1
"Chenopodium berlandieri var. zschackei","CHEBERZ","Chenopodiaceae","forb","native",12.79,12.79,217.644240191699,35.485,0.0370794796866939,1.6152662,6.05983612,0.0370794796866939,1.6152662,6.05983612,"no appendage",1,"none",0.444423435419441,0.0245006657789614,18.1392391304348,4,"bird","ingestion",2.11061813334978,2.11061813334978,14.3802943163957,2.52404689892365,0.0332,0.0248,0.058,0,0,1
"Chenopodium hians","CHEHIA","Chenopodiaceae","forb","native",3.4766,3.4766,223.860252740922,55,0.0499229189603734,1.1898462,2.93978058,0.0499229189603734,1.1898462,2.93978058,"no appendage",0,"none",0.454917193616381,0.0343661547726588,13.237360904232,4,"bird","ingestion",1.18260526777138,1.18260526777138,20.7780618834253,2.37299079826202,0.0164,0.0116,0.028,0,0,1
"Chenopodium incanum var. elatum","CHEINCE","Chenopodiaceae","forb","native",4.9621,4.9621,239.224918869445,50,0.0277790080518133,1.3383003,4.10430294,0.0277790080518133,1.3383003,4.10430294,"no appendage",1,"none",0.451445702864757,0.0238640906062625,18.9173646007817,4,"bird","ingestion",1.20899945070819,1.20899945070819,13.5825335776863,2.45400391097485,0.0346,0.012,0.0466,0,0,1
"Chenopodium incanum var. occidentale","CHEINCO","Chenopodiaceae","forb","native",5.346,5.346,225.20680682457,34,0.0153498185924057,1.2208664,3.58664966,0.0153498185924057,1.2208664,3.58664966,"no appendage",0,"none",0.443513659724101,0.0296321341628347,14.9673208580557,4,"bird","ingestion",1.49052751363511,1.49052751363511,25.5591308242805,2.74015730866418,0.0304,0.0064,0.0368,0,0,1
"Chenopodium murale","CHEMUR","Chenopodiaceae","forb","invasive",5.7997,5.7997,221.942415646106,48.59375,0.0242144347744624,1.3936932,4.67144262,0.0242144347744624,1.3936932,4.67144262,"no appendage",1,"none",0.515393258426966,0.0359636992221262,14.3309300648882,4,"adhesive","adhesive",1.24152226020492,1.24152226020492,20.1676950902373,2.65439979287248,0.0336,0.0132,0.0468,0,0,1
"Chenopodium neomexicanum","CHENEO","Chenopodiaceae","forb","native",6.9883,6.9883,230.687203504373,37.5,0.0342665108065091,1.4269291,4.49666586,0.0342665108065091,1.4269291,4.49666586,"no appendage",1,"none",0.558184553660983,0.0313014042126379,17.8325722983257,4,"bird","ingestion",1.55410702453217,1.55410702453217,21.5573985935395,2.61907194124646,0.042,0.0202,0.0622,1,0,1
"Chenopodium watsonii","CHEWAT","Chenopodiaceae","forb","native",4.3548,4.3548,218.793263954953,27.5,0.000800003417991453,1.1078643,3.3902718,0.000800003417991453,1.1078643,3.3902718,"no appendage",0,"none",0.547331278890601,0.0354083204930663,15.4577023498695,4,"bird","ingestion",1.28449878266397,1.28449878266397,14.0013274419477,2.65602298680104,0.0356,0.0126,0.0482,0,0,1
"Chorizanthe brevicornu","CHOBRE","Polygonaceae","forb","native",13.32,4.8096,207.317068007315,15,0.0476794341100105,5.118333,17.3975308,0.136046401881303,3.3812016,6.484406,"elongated appendage",1,"hooks",0.649337274424393,0.0332451773490977,19.5317735142723,4,"adhesive","adhesive",0.74171789983539,0.765625889853289,87.226829233825,0.954336380549867,0.0326,0.059,0.0916,0,1,1
"Chorizanthe brevicornu var. brevicornu",NA,"Polygonaceae","forb","native",24.94,24.94,233.276016500555,17.5,0.104389351463392,5.7608942,21.564674,0.137582330921516,3.3679073,6.18434,"elongated appendage",1,"hooks",NA,NA,NA,4,"adhesive","adhesive",4.03276663314113,1.15652107701698,84.1678920095182,0.965114697212825,0.0296,0.0766,0.1062,0,1,1
"Chorizanthe fimbriata","CHOFIM","Polygonaceae","forb","native",14.3022,6.21983333333333,157.594960127607,11.43,0.0482765899450185,5.6855595,21.706066,0.150793767105643,3.4698309,6.328088,"elongated appendage",1,"hooks",0.457781466113416,0.0244813278008299,18.699209039548,4,"unassisted","unassisted",0.982892989688723,0.658903368302667,126.128466115058,0.90254282098111,0.0146,NA,NA,0,1,1
"Chorizanthe staticoides","CHOSTA","Polygonaceae","forb","native",7.9827,5.1985,181.785431980309,32.5,0.0543866729539283,3.7711704,11.8958036,0.119214039600484,2.9646447,6.4757648,"elongated appendage",1,"hooks",0.480377797151991,0.0256873002034292,18.7009842742392,4,"unassisted","unassisted",0.802762323918867,0.67105176484252,132.515118851871,0.952600196268633,0.0274,NA,NA,0,1,1
