Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Chylismia claviformis ssp. claviformis,CHYCLAC,unassisted,0.6531997228,78.234048,1,0.0114,0.9677,128.5692856,36.5,0.025892716,0.92174312,no appendage,0,none,0.5270178984,0.03213337182,16.4009523,1,unassisted
Chylismia claviformis ssp. funerea,CHYCLAF,unassisted,0.7370265121,81.70190496,1,0.0082,0.7891,165.6166297,37,0.021099991,0.76221062,no appendage,0,none,0.5427717685,0.03585992428,15.13588719,1,unassisted
Clarkia dudleyana,CLADUD,unassisted,0.8381054314,38.09184038,1,0.0176,2.4543,208.5531928,70,0.020048856,1.2097876,no appendage,1,none,0.5557008522,0.05535997649,10.03795318,1,unassisted
Clarkia epilobioides,CLAEPI,unassisted,0.5312690267,38.60067335,1,0.0196,0.6723,147.0976908,45.72,0.038181481,0.8552712,no appendage,1,none,0.4894935452,0.04379675604,11.17647948,1,unassisted
Clarkia gracilis,CLAGRA,unassisted,0.8889814524,58.26531005,1,0.0412,3.8749,164.2330348,42.21666667,0.087029716,2.0606276,elongated appendage,1,hairs,0.5171656483,0.06398506449,8.082599469,1,unassisted
Clarkia purpurea,CLAPUR,ant,1.02621091,54.31966114,1,0.0186,4.5448,198.2506768,25.9,0.027965908,1.5864617,elongated appendage,1,hairs,0.5386043956,0.05654578755,9.525102028,2,ant
Clarkia unguiculata,CLAUNG,unassisted,0.8819384913,40.29184154,1,0.012,3.202,189.1295346,100,0.023246333,1.34273156,no appendage,1,none,0.547532277,0.05320129108,10.29171033,1,unassisted
Claytonia parviflora ssp. parviflora,CLAPARP,ant,1.36429621,45.17909952,1,0.0184,4.1254,195.2199674,30.48,0.041473275,1.26296535,nutrient-containing appendage,0,elaiosome,0.4569436298,0.0245943304,18.57922629,3,ant
Claytonia parviflora ssp. viridis,CLAPARV,ant,1.653113179,29.51176057,1,0.0252,4.4949,204.5344933,15.5,0.045855379,1.2097878,nutrient-containing appendage,0,elaiosome,0.4581081978,0.01771324262,25.86246955,2,ant
Claytonia perfoliata,CLAPER,ant,1.02534422,31.08800905,1,0.0148,3.7146,193.0851582,15.1836842,0.033973783,1.3648888,nutrient-containing appendage,0,elaiosome,0.4467601519,0.02895997663,15.42681328,4,ant
Collinsia concolor,COLCON,unassisted,1.397566563,88.10795754,0.8053620712,0.0902,5.2036,221.0251048,27.5,0.03213553,1.33830003,no appendage,1,none,0.4818446301,0.01722686475,27.97053539,1,unassisted
Collinsia heterophylla,COLHET,unassisted,1.471149429,95.31214087,0.8279861649,0.1336,6.0912,237.0571472,38.4,0.035953481,1.4468707,no appendage,1,none,0.4517513638,0.02579672696,17.51196439,1,ballistic
Collinsia parviflora,COLPAR,unassisted,1.501220379,87.78260631,0.8284928997,0.1902,11.2174,254.760653,30.48,0.056641752,2.14925675,no appendage,1,none,0.4653042512,0.01707696582,27.24747803,1,unassisted
Collinsia sparsiflora,COLSPA,unassisted,1.024319739,114.1677776,0.8300419434,0.0318,11.0514,190.2469888,12.73,0.045430203,2.5237149,flat appendage,0,wing,0.4138566748,0.02010504086,20.58438258,1,unassisted
Convolvulus equitans,CONEQU,ingestion,5.285628247,3.184256117,0.8556863945,0.0486,174.41,248.9978063,60.96,0.015685557,3.8863876,no appendage,1,none,0.431641603,0.02016580768,21.7244094,3,bird
Cordylanthus nevinii,CORNEV,unassisted,1.120004788,42.17162386,0.901151362,0.025,5.6209,201.9316523,50,0.070469221,1.9719984,no appendage,1,none,0.5801827676,0.04460835509,13.00614574,1,unassisted
Cordylanthus rigidus ssp. setiger,CORRIGS,unassisted,1.106764842,40.49221344,0.8852627963,0.0398,5.2593,210.0516904,60.96,0.05539944,1.78366145,no appendage,1,none,0.5171382945,0.0372245289,13.89240669,1,unassisted
Cryptantha angustifolia,CRYANG,adhesive,0.4617099764,67.55918742,1,0.0058,0.7094,139.2577786,12.5,0.046236452,1.01037228,no appendage,1,none,0.5042697,0.04164523574,12.10870082,4,adhesive
Cryptantha barbigera,CRYBAR,adhesive,0.9804458686,59.50970499,1,0.0194,5.3541,223.1785301,28,0.06351126,2.0850008,no appendage,1,none,0.4419593346,0.02362600123,18.70648064,4,adhesive
Cryptantha costata,CRYCOS,adhesive,0.7888670065,25.92607479,1,0.0196,1.96,188.2220383,15,0.06822697,1.3892618,no appendage,0,none,0.5272868648,0.04384893085,12.02507916,4,adhesive
Cryptantha intermedia,CRYINT,adhesive,0.779950305,38.6578753,1,0.0122,3.1454,195.1520396,35,0.057492596,1.7947402,no appendage,1,none,0.4283427049,0.04143829535,10.33688045,4,adhesive
Cryptantha micrantha,CRYMIC,adhesive,0.4788271742,29.65116752,1,0.0094,0.8444,136.8675862,6.5,0.041048221,1.04139226,no appendage,1,none,0.5165163699,0.04247558874,12.16031102,4,adhesive
Cryptantha muricata,CRYMUR,adhesive,0.7590676196,41.78214244,1,0.0095,3.3295,187.3603258,12.7,0.042072141,1.7415627,no appendage,1,none,0.5074523742,0.01840773386,27.56734631,4,adhesive
Cryptantha nevadensis var. rigida,CRYNEVR,adhesive,0.8464772779,40.02943946,1,0.0196,4.7668,256.0692155,20,0.03914864,1.9321153,no appendage,1,none,0.4227068524,0.03288598237,12.85370915,4,adhesive
Cryptantha pterocarya,CRYPTE,adhesive,0.4718535249,49.11208247,1,0.014,3.8336,231.7188812,25,0.050195353,2.06505905,flat appendage,1,wing,0.5038796861,0.03177274048,15.85886765,4,adhesive
Cucurbita palmata,CUCPAL,ingestion,5.857566247,44.80793762,1,0.532,751.6,336.2666815,7.5,0.086865351,9.9596993,no appendage,0,none,0.5228720197,0.02624280625,19.92439432,4,large mammal (internal)
Cynosurus echinatus,CYNECH,adhesive,1.502526543,38.15372763,0.2738704868,0.0068,18.17,221.8193282,41.8125,0.095173148,3.5008512,elongated appendage,1,awn,0.4311150442,0.02952465234,14.60186692,4,adhesive
Daucus pusillus,NA,adhesive,0.7169644585,126.1317543,0.2362897766,0.0822,19.9556,179.0958206,17.1888889,0.049685107,4.89011295,elongated appendage,1,prickles,NA,NA,NA,4,adhesive
Deinandra fasciculata,DEIFAS,unassisted,0.996337121,55.23112835,1,0.059,6.0169,181.8003988,52,0.073686196,2.2135129,flat appendage,1,pappus,0.5002297179,0.02974411166,16.817773,1,unassisted
Deschampsia danthonioides,DESDAN,ingestion,0.7737530038,34.8049035,0.9699630314,0.033,1.8173,151.0752413,45.72,0.069208015,1.3737519,no appendage,0,none,0.4004151565,0.01780560132,22.48815692,3,bird
Descurainia pinnata,DESPIN,ingestion,0.8462600546,379.8737802,0.9718467419,0.0342,1.3049,178.2246339,35,0.030036526,0.90401725,no appendage,0,none,0.5406664551,0.03657569026,14.78212581,3,small mammal (internal or caching)
Diplacus bigelovii,DIPBIG,unknown,0.557804668,18.68686869,0.9196730552,0.005,0.372,80.37221423,13.5,0.036557072,0.63369836,no appendage,0,none,0.542992726,0.02987530308,18.17530435,0,unknown
Draba cuneifolia,DRACUN,unassisted,0.455352731,6.962184183,1,0.01,0.5841,102.349704,15,0.017732948,0.7843679,no appendage,1,none,0.556629055,0.04153385049,13.40181679,1,unassisted
Elymus caput-medusae,ELYCAP,adhesive,1.990266645,56.50852596,0.2021437524,0.0178,33.06,181.8178605,34.9290826,0.161602988,6.1663725,elongated appendage,1,awn,0.3887427466,0.01467762734,26.48539425,4,adhesive
Emmenanthe penduliflora,EMMPEN,unassisted,0.7129270122,56.95653988,0.8042544273,0.015,5.1524,152.8257059,45,0.056041346,2.06949065,no appendage,1,none,0.503258497,0.01659494855,30.32600526,1,unassisted
Emmenanthe penduliflora var. penduliflora,EMMPENP,unassisted,0.8096562458,70.54064351,0.7710576923,0.0114,5.4756,173.0096864,45.1104,0.063748495,2.058412,no appendage,1,none,0.5040204866,0.0209603073,24.04642639,1,unassisted
Epilobium brachycarpum,EPIBRA,wind,0.7077883113,59.67619401,1,0.0092,1.8489,154.8916385,47.825,0.075833817,1.44687075,no appendage,1,none,0.5403369639,0.04495575221,12.01930648,2,wind
Eremothera boothii,EREBOO,unknown,0.6903075975,43.45994546,1,0.0156,1.8862,147.5684334,30.48,0.072758308,1.460165,no appendage,1,none,0.5009729032,0.03374709677,14.84491856,0,unknown
Eriastrum diffusum,ERIDIF,ant,0.7888724124,1003.742196,0.9584220003,0.0082,1.6855,139.2350137,20,0.059251413,1.2186506,no appendage,0,none,0.4872280987,0.03103607269,15.69876781,2,ant
Eriastrum eremicum,ERIERE,unknown,0.7783726599,1138.271088,0.9529950789,0.0068,1.4668,138.8613115,17.78,0.040704421,1.07684406,no appendage,0,none,0.4722256284,0.03823114654,12.35185631,0,unknown
Eriastrum sapphirinum,ERISAP,unknown,0.7746370762,1816.322126,0.8449830058,0.007,2.1437,156.3040016,22.5,0.037898595,1.29841706,no appendage,0,none,0.4660901203,0.02676742233,17.41258887,0,unknown
Eriogonum gracillimum,ERIGRA,wind,1.204624703,100.6976686,1,0.0092,1.5509,168.3459314,30,0.04910674,1.03696092,no appendage,0,none,0.4306244261,0.03547597184,12.13848145,2,wind
Eriogonum parishii,ERIPAR,wind,0.9611559944,44.55776486,1,0.0086,2.416,181.5512243,25,0.030252358,1.2851227,no appendage,1,none,0.4292925764,0.01858224163,23.10230299,2,wind
Eriogonum pharnaceoides,ERIPHA,wind,1.279178086,59.65994658,0.7781725325,0.0592,6.3293,200.0047848,21.3,0.048610878,1.9897244,elongated appendage,0,,0.5490815691,0.03198941469,17.16447689,2,wind
